time_idx,net.enp0s31f6|received,net.enp0s31f6|sent
1689068820,,
1689068850,,
1689068880,,
1689068910,,
1689068940,,
1689068970,,
1689069000,,
1689069030,,
1689069060,,
1689069090,,
1689069120,,
1689069150,,
1689069180,,
1689069210,,
1689069240,,
1689069270,,
1689069300,,
1689069330,,
1689069360,,
1689069390,,
1689069420,,
1689069450,,
1689069480,,
1689069510,,
1689069540,,
1689069570,,
1689069600,,
1689069630,,
1689069660,,
1689069690,,
1689069720,,
1689069750,,
1689069780,,
1689069810,,
1689069840,,
1689069870,,
1689069900,,
1689069930,,
1689069960,,
1689069990,,
1689070020,,
1689070050,,
1689070080,,
1689070110,,
1689070140,,
1689070170,,
1689070200,,
1689070230,,
1689070260,,
1689070290,,
1689070320,,
1689070350,,
1689070380,,
1689070410,,
1689070440,,
1689070470,,
1689070500,,
1689070530,,
1689070560,,
1689070590,,
1689070620,,
1689070650,,
1689070680,,
1689070710,,
1689070740,,
1689070770,,
1689070800,,
1689070830,,
1689070860,,
1689070890,,
1689070920,,
1689070950,,
1689070980,,
1689071010,,
1689071040,,
1689071070,,
1689071100,,
1689071130,,
1689071160,,
1689071190,,
1689071220,,
1689071250,,
1689071280,,
1689071310,,
1689071340,,
1689071370,,
1689071400,,
1689071430,,
1689071460,,
1689071490,,
1689071520,,
1689071550,,
1689071580,,
1689071610,,
1689071640,,
1689071670,,
1689071700,,
1689071730,,
1689071760,,
1689071790,,
1689071820,,
1689071850,,
1689071880,,
1689071910,,
1689071940,,
1689071970,,
1689072000,,
1689072030,,
1689072060,,
1689072090,,
1689072120,,
1689072150,,
1689072180,,
1689072210,,
1689072240,,
1689072270,,
1689072300,,
1689072330,,
1689072360,,
1689072390,,
1689072420,,
1689072450,,
1689072480,,
1689072510,,
1689072540,,
1689072570,,
1689072600,,
1689072630,,
1689072660,,
1689072690,,
1689072720,,
1689072750,,
1689072780,,
1689072810,,
1689072840,,
1689072870,,
1689072900,,
1689072930,,
1689072960,,
1689072990,,
1689073020,,
1689073050,,
1689073080,,
1689073110,,
1689073140,,
1689073170,,
1689073200,,
1689073230,,
1689073260,,
1689073290,,
1689073320,,
1689073350,,
1689073380,,
1689073410,,
1689073440,,
1689073470,,
1689073500,,
1689073530,,
1689073560,,
1689073590,,
1689073620,,
1689073650,,
1689073680,,
1689073710,,
1689073740,,
1689073770,,
1689073800,,
1689073830,,
1689073860,,
1689073890,,
1689073920,,
1689073950,,
1689073980,,
1689074010,,
1689074040,,
1689074070,,
1689074100,,
1689074130,,
1689074160,,
1689074190,,
1689074220,,
1689074250,,
1689074280,,
1689074310,,
1689074340,,
1689074370,,
1689074400,,
1689074430,,
1689074460,,
1689074490,,
1689074520,,
1689074550,,
1689074580,,
1689074610,,
1689074640,,
1689074670,,
1689074700,,
1689074730,,
1689074760,,
1689074790,,
1689074820,,
1689074850,,
1689074880,,
1689074910,,
1689074940,,
1689074970,,
1689075000,,
1689075030,,
1689075060,,
1689075090,,
1689075120,,
1689075150,,
1689075180,,
1689075210,,
1689075240,,
1689075270,,
1689075300,,
1689075330,,
1689075360,,
1689075390,,
1689075420,,
1689075450,,
1689075480,,
1689075510,,
1689075540,,
1689075570,,
1689075600,,
1689075630,,
1689075660,,
1689075690,,
1689075720,,
1689075750,,
1689075780,,
1689075810,,
1689075840,,
1689075870,,
1689075900,,
1689075930,,
1689075960,,
1689075990,,
1689076020,,
1689076050,,
1689076080,,
1689076110,,
1689076140,,
1689076170,,
1689076200,,
1689076230,,
1689076260,,
1689076290,,
1689076320,,
1689076350,,
1689076380,,
1689076410,,
1689076440,,
1689076470,,
1689076500,,
1689076530,,
1689076560,,
1689076590,,
1689076620,,
1689076650,,
1689076680,,
1689076710,,
1689076740,,
1689076770,,
1689076800,,
1689076830,,
1689076860,,
1689076890,,
1689076920,,
1689076950,,
1689076980,,
1689077010,,
1689077040,,
1689077070,,
1689077100,,
1689077130,,
1689077160,,
1689077190,,
1689077220,,
1689077250,,
1689077280,,
1689077310,,
1689077340,,
1689077370,,
1689077400,,
1689077430,,
1689077460,,
1689077490,,
1689077520,,
1689077550,,
1689077580,,
1689077610,,
1689077640,,
1689077670,,
1689077700,,
1689077730,,
1689077760,,
1689077790,,
1689077820,,
1689077850,,
1689077880,,
1689077910,,
1689077940,,
1689077970,,
1689078000,,
1689078030,,
1689078060,,
1689078090,,
1689078120,,
1689078150,,
1689078180,,
1689078210,,
1689078240,,
1689078270,,
1689078300,,
1689078330,,
1689078360,,
1689078390,,
1689078420,,
1689078450,,
1689078480,,
1689078510,,
1689078540,,
1689078570,,
1689078600,,
1689078630,,
1689078660,,
1689078690,,
1689078720,,
1689078750,,
1689078780,,
1689078810,,
1689078840,,
1689078870,,
1689078900,,
1689078930,,
1689078960,,
1689078990,,
1689079020,,
1689079050,,
1689079080,,
1689079110,,
1689079140,,
1689079170,,
1689079200,,
1689079230,,
1689079260,,
1689079290,,
1689079320,,
1689079350,,
1689079380,,
1689079410,,
1689079440,,
1689079470,,
1689079500,,
1689079530,,
1689079560,,
1689079590,,
1689079620,,
1689079650,,
1689079680,,
1689079710,,
1689079740,,
1689079770,,
1689079800,,
1689079830,,
1689079860,,
1689079890,,
1689079920,,
1689079950,,
1689079980,,
1689080010,,
1689080040,,
1689080070,,
1689080100,,
1689080130,,
1689080160,,
1689080190,,
1689080220,,
1689080250,,
1689080280,,
1689080310,,
1689080340,,
1689080370,,
1689080400,,
1689080430,,
1689080460,,
1689080490,,
1689080520,,
1689080550,,
1689080580,,
1689080610,,
1689080640,,
1689080670,,
1689080700,,
1689080730,,
1689080760,,
1689080790,,
1689080820,,
1689080850,,
1689080880,,
1689080910,,
1689080940,,
1689080970,,
1689081000,,
1689081030,,
1689081060,,
1689081090,,
1689081120,,
1689081150,,
1689081180,,
1689081210,,
1689081240,,
1689081270,,
1689081300,,
1689081330,,
1689081360,,
1689081390,,
1689081420,,
1689081450,,
1689081480,,
1689081510,,
1689081540,,
1689081570,,
1689081600,,
1689081630,,
1689081660,,
1689081690,,
1689081720,,
1689081750,,
1689081780,,
1689081810,,
1689081840,,
1689081870,,
1689081900,,
1689081930,,
1689081960,,
1689081990,,
1689082020,,
1689082050,,
1689082080,,
1689082110,,
1689082140,,
1689082170,,
1689082200,,
1689082230,,
1689082260,,
1689082290,,
1689082320,,
1689082350,,
1689082380,,
1689082410,,
1689082440,,
1689082470,,
1689082500,,
1689082530,,
1689082560,,
1689082590,,
1689082620,,
1689082650,,
1689082680,,
1689082710,,
1689082740,,
1689082770,,
1689082800,,
1689082830,,
1689082860,,
1689082890,,
1689082920,,
1689082950,,
1689082980,,
1689083010,,
1689083040,,
1689083070,,
1689083100,,
1689083130,,
1689083160,,
1689083190,,
1689083220,,
1689083250,,
1689083280,,
1689083310,,
1689083340,,
1689083370,,
1689083400,,
1689083430,,
1689083460,,
1689083490,,
1689083520,,
1689083550,,
1689083580,,
1689083610,,
1689083640,,
1689083670,,
1689083700,,
1689083730,,
1689083760,,
1689083790,,
1689083820,,
1689083850,,
1689083880,,
1689083910,,
1689083940,,
1689083970,,
1689084000,,
1689084030,,
1689084060,,
1689084090,,
1689084120,,
1689084150,,
1689084180,,
1689084210,,
1689084240,,
1689084270,,
1689084300,,
1689084330,,
1689084360,,
1689084390,,
1689084420,,
1689084450,,
1689084480,,
1689084510,,
1689084540,,
1689084570,,
1689084600,,
1689084630,,
1689084660,,
1689084690,,
1689084720,,
1689084750,,
1689084780,,
1689084810,,
1689084840,,
1689084870,,
1689084900,,
1689084930,,
1689084960,,
1689084990,,
1689085020,,
1689085050,,
1689085080,,
1689085110,,
1689085140,,
1689085170,,
1689085200,,
1689085230,,
1689085260,,
1689085290,,
1689085320,,
1689085350,,
1689085380,,
1689085410,,
1689085440,,
1689085470,,
1689085500,,
1689085530,,
1689085560,,
1689085590,,
1689085620,,
1689085650,,
1689085680,,
1689085710,,
1689085740,,
1689085770,,
1689085800,,
1689085830,,
1689085860,,
1689085890,,
1689085920,,
1689085950,,
1689085980,,
1689086010,,
1689086040,,
1689086070,,
1689086100,,
1689086130,,
1689086160,,
1689086190,,
1689086220,,
1689086250,,
1689086280,,
1689086310,,
1689086340,,
1689086370,,
1689086400,,
1689086430,,
1689086460,,
1689086490,,
1689086520,,
1689086550,,
1689086580,,
1689086610,,
1689086640,,
1689086670,,
1689086700,,
1689086730,,
1689086760,,
1689086790,,
1689086820,,
1689086850,,
1689086880,,
1689086910,,
1689086940,,
1689086970,,
1689087000,,
1689087030,,
1689087060,,
1689087090,,
1689087120,,
1689087150,,
1689087180,,
1689087210,,
1689087240,,
1689087270,,
1689087300,,
1689087330,,
1689087360,,
1689087390,,
1689087420,,
1689087450,,
1689087480,,
1689087510,,
1689087540,,
1689087570,,
1689087600,,
1689087630,,
1689087660,,
1689087690,,
1689087720,,
1689087750,,
1689087780,,
1689087810,,
1689087840,,
1689087870,,
1689087900,,
1689087930,,
1689087960,,
1689087990,,
1689088020,,
1689088050,,
1689088080,,
1689088110,,
1689088140,,
1689088170,,
1689088200,,
1689088230,,
1689088260,,
1689088290,,
1689088320,,
1689088350,,
1689088380,,
1689088410,,
1689088440,,
1689088470,,
1689088500,,
1689088530,,
1689088560,,
1689088590,,
1689088620,,
1689088650,,
1689088680,,
1689088710,,
1689088740,,
1689088770,,
1689088800,,
1689088830,,
1689088860,,
1689088890,,
1689088920,,
1689088950,,
1689088980,,
1689089010,,
1689089040,,
1689089070,,
1689089100,,
1689089130,,
1689089160,,
1689089190,,
1689089220,,
1689089250,,
1689089280,,
1689089310,,
1689089340,,
1689089370,,
1689089400,,
1689089430,,
1689089460,,
1689089490,,
1689089520,,
1689089550,,
1689089580,,
1689089610,,
1689089640,,
1689089670,,
1689089700,,
1689089730,,
1689089760,,
1689089790,,
1689089820,,
1689089850,,
1689089880,,
1689089910,,
1689089940,,
1689089970,,
1689090000,,
1689090030,,
1689090060,,
1689090090,,
1689090120,,
1689090150,,
1689090180,,
1689090210,,
1689090240,,
1689090270,,
1689090300,,
1689090330,,
1689090360,,
1689090390,,
1689090420,,
1689090450,,
1689090480,,
1689090510,,
1689090540,,
1689090570,,
1689090600,,
1689090630,,
1689090660,,
1689090690,,
1689090720,,
1689090750,,
1689090780,,
1689090810,,
1689090840,,
1689090870,,
1689090900,,
1689090930,,
1689090960,,
1689090990,,
1689091020,,
1689091050,,
1689091080,,
1689091110,,
1689091140,,
1689091170,,
1689091200,,
1689091230,,
1689091260,,
1689091290,,
1689091320,,
1689091350,,
1689091380,,
1689091410,,
1689091440,,
1689091470,,
1689091500,,
1689091530,,
1689091560,,
1689091590,,
1689091620,,
1689091650,,
1689091680,,
1689091710,,
1689091740,,
1689091770,,
1689091800,,
1689091830,,
1689091860,,
1689091890,,
1689091920,,
1689091950,,
1689091980,,
1689092010,,
1689092040,,
1689092070,,
1689092100,,
1689092130,,
1689092160,,
1689092190,,
1689092220,,
1689092250,,
1689092280,,
1689092310,,
1689092340,,
1689092370,,
1689092400,,
1689092430,,
1689092460,,
1689092490,,
1689092520,,
1689092550,,
1689092580,,
1689092610,,
1689092640,,
1689092670,,
1689092700,,
1689092730,,
1689092760,,
1689092790,,
1689092820,,
1689092850,,
1689092880,,
1689092910,,
1689092940,,
1689092970,,
1689093000,,
1689093030,,
1689093060,,
1689093090,,
1689093120,,
1689093150,,
1689093180,,
1689093210,,
1689093240,,
1689093270,,
1689093300,,
1689093330,,
1689093360,,
1689093390,,
1689093420,,
1689093450,,
1689093480,,
1689093510,,
1689093540,,
1689093570,,
1689093600,,
1689093630,,
1689093660,,
1689093690,,
1689093720,,
1689093750,,
1689093780,,
1689093810,,
1689093840,,
1689093870,,
1689093900,,
1689093930,,
1689093960,,
1689093990,,
1689094020,,
1689094050,,
1689094080,,
1689094110,,
1689094140,,
1689094170,,
1689094200,,
1689094230,,
1689094260,,
1689094290,,
1689094320,,
1689094350,,
1689094380,,
1689094410,,
1689094440,,
1689094470,,
1689094500,,
1689094530,,
1689094560,,
1689094590,,
1689094620,,
1689094650,,
1689094680,,
1689094710,,
1689094740,,
1689094770,,
1689094800,,
1689094830,,
1689094860,,
1689094890,,
1689094920,,
1689094950,,
1689094980,,
1689095010,,
1689095040,,
1689095070,,
1689095100,,
1689095130,,
1689095160,,
1689095190,,
1689095220,,
1689095250,,
1689095280,,
1689095310,,
1689095340,,
1689095370,,
1689095400,,
1689095430,,
1689095460,,
1689095490,,
1689095520,,
1689095550,,
1689095580,,
1689095610,,
1689095640,,
1689095670,,
1689095700,,
1689095730,,
1689095760,,
1689095790,,
1689095820,,
1689095850,,
1689095880,,
1689095910,,
1689095940,,
1689095970,,
1689096000,,
1689096030,,
1689096060,,
1689096090,,
1689096120,,
1689096150,,
1689096180,,
1689096210,,
1689096240,,
1689096270,,
1689096300,,
1689096330,,
1689096360,,
1689096390,,
1689096420,,
1689096450,,
1689096480,,
1689096510,,
1689096540,,
1689096570,,
1689096600,,
1689096630,,
1689096660,,
1689096690,,
1689096720,,
1689096750,,
1689096780,,
